DateCleaned,AVERAGE of Calories
04-12-2016,2390.69697
04-13-2016,2286.636364
04-14-2016,2356.393939
04-15-2016,2355.181818
04-16-2016,2392.9375
04-17-2016,2230.96875
04-18-2016,2333.375
04-19-2016,2359.09375
04-20-2016,2395.21875
04-21-2016,2421.875
04-22-2016,2327.65625
04-23-2016,2397.15625
04-24-2016,2291.4375
04-25-2016,2349.5625
04-26-2016,2331.375
04-27-2016,2328.5625
04-28-2016,2316.0625
04-29-2016,2272.5625
04-30-2016,2373.935484
05-01-2016,2230.433333
05-02-2016,2275.448276
05-03-2016,2453.896552
05-04-2016,2283.137931
05-05-2016,2415.068966
05-06-2016,2375.068966
05-07-2016,2246.241379
05-08-2016,2303.444444
05-09-2016,2335.666667
05-10-2016,2229.346154
05-11-2016,2190.083333
05-12-2016,1139.285714
Grand Total,2303.609574
